Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent Form for Study About People's Opinions of Controversial Behaviors  

Key Information


This research is a survey of public opinion about people's opinion concerning controversial behaviors in US society. You will be asked a series of questions about this issue.  The survey should take around 6 minutes to complete. After completing the survey, you will be paid [$0.8 USD] for your participation.
We do not ask for your name or any other information that might identify you. De-identified information may be made public or used for future research purposes.
Your participation is voluntary. You may withdraw at any time and you may choose not to answer any question but you must proceed to the final screen of the study in order to receive your completion code which you must submit in order to be paid.
Please note that this survey will contain a mention of a man raping a woman, which may provoke emotional discomfort and may pose a potential risk to you. The survey will collect information and store it a password protected drive and a password protected cloud drive for six months for research purposes and will only be accessible to the Principal Investigator.
In accordance with Mechanical Turk/Connect policies, we may reject your work if the HIT was not correctly completed or the instructions were not followed. 

If you have any questions about this research study please contact me at j.thomas@cuhk.edu.hk. If you have questions about your rights as a research subject, contact the CUHK’s Secretary of the Survey and Behavioural Research Ethics Committee (c/o Faculty Office of Social Science) at fssc02@cuhk.edu.hk
I hereby give my consent to be the subject of the research (agree constituting a signature, disagree a decline to sign).",uscitizen,"Are you a US citizen? - Yes, I am a 1.5 generation immigrant (came to US in before 13 years old) (enter country) - Text","Are you a US citizen? - No, but I am a 1.5 generation immigrant (came to US in before 13 years old) (enter country) - Text","Are you a US citizen? - Yes, I am a first-generation immigrant, born outside the US (enter country) - Text","Are you a US citizen? - No, but I am a first-generation immigrant, born outside the US (enter country) - Text","Are you a US citizen? - No, and I do not consider myself an immigrant, but a citizen of another country (enter country) - Text",sex,What is your sex? - Intersex/Non-binary/self-describe - Text,hispanic,"Are you of Hispanic, Latino, or Spanish origin? - Yes, other - Text",race,"What is your race or races? - American Indian or Alaska Native, print name of enrolled or principal tribe(s), for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community: - Text",What is your race or races? - Other Asian (type): - Text,What is your race or races? - Other Pacific Islander—type: - Text,What is your race or races? - Some other Race--type: - Text,town_state,region,urbanicity,age,religpref,What.is.your.religious.preference....Other..please.type....Text,educ,What.is.the.highest.degree.or.level.of.formal.schooling.you.have.completed....Grade.1.through.11..Specify...Text,employed,income,relationstatus,numchild,agechild,polparty,polideology,mediaideology,auth1,auth2,auth3,auth4,auth5,auth6,auth7,auth8,blacksmustworkup,slaveryhurtblacks,blacksgetlessdeserve,blackstryharder,feelinglatino,feelingnonlatino,religionpractice,religionimportant,natimport,trustforeigner,genderchild,genderhome,genderfamily,genderjob,abtimes,abfamily,abinformation,abconcern,abfirm,abdiscuss,abweb,pabdefect,pabhealth,pabafford,ablegal,court,On what planet do you live?,absingle1,abhusband1,abdefect1,abhealth1,ablife1,absupport1,abtri1,absingle2,abhusband2,abdefect2,abhealth2,ablife2,absupport2,abtri2,absingle3,abhusband3,abdefect3,abhealth3,ablife3,absupport3,abtri3,absingle4,abhusband4,abdefect4,abhealth4,ablife4,absupport4,abtri4,Do.you.have.anything.else.you.want.to.say.about.this.survey.,participantid,IncreaseCrime,OpenToIdeas,OvercamePrejudice,EnglishThreatened,EqualRights,workerId,assignmentId,projectId,wmww,wmbw,bmww,bmbw
2/24/23 17:52,2/24/23 17:57,IP Address,76.167.94.224,100,322,TRUE,2/24/23 17:57,R_1Ny0XSiR1H7JAXi,,,,,33.846,-118.3456,anonymous,EN,Agree,"Yes, I am a third/fourth/fifth-generation or high generation immigrant (grandparents or earlier ancestors born outside the US)",,,,,,Male,,"Yes, other",Great Grandparents are Spanish Jews ,White,,,,,"Torrance, California ",,,34,Jewish,,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",,yes,"$100,001-125,000",single/never married,0,,no party,4,4,independent,self-reliant,considerate,good mannered,polite,imaginative,open-minded,adaptable,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,50,50,more once per year but less than once per month,3,not so important,trust somewhat,disagree,disagree,disagree,disagree,,0,some of the information I need,not concerned at all,very unlikely to change,sometimes,yes,,,,2,yes,Earth,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
2/25/23 10:46,2/25/23 10:51,IP Address,173.170.193.236,100,297,TRUE,2/25/23 10:51,R_24GixiiKhJQJVof,,,,,28.3836,-82.511,anonymous,EN,Agree,"Yes, I am a third/fourth/fifth-generation or high generation immigrant (grandparents or earlier ancestors born outside the US)",,,,,,Male,,"no, not of Hispanic, Latino or Spanish origin.",,White,,,,,"Spring Hill, FL",,,55,Protestant,,"Associate’s degree (for example: AA, AS)",,yes,"$0-25,000",single/never married,0,,Republican,7 (extremely conservative),6,independent,self-reliant,considerate,good mannered,polite,imaginative,loyal,disciplined,strongly agree,disagree,strongly disagree,strongly agree,80,85,never,2,very important,trust somewhat,strongly agree,agree,strongly agree,strongly agree,,1,some of the information I need,not very concerned,somewhat unlikely to change,almost never,no,no,yes,no,never legal under any circumstance,yes,Earth,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,yes,,FCA8C63F27B643548A12B27B4181E7E8,,,,,,,6731c15b-0355-4c23-be6c-a5c0af9b3e32,ca1a579a-ad66-49a2-b381-4bb9c9462e00,0,0,,1
2/25/23 10:46,2/25/23 10:52,IP Address,173.90.9.162,100,357,TRUE,2/25/23 10:52,R_8J12LzAAxwYMiE9,,,,,39.8026,-84.0154,anonymous,EN,Agree,"Yes, I am a third/fourth/fifth-generation or high generation immigrant (grandparents or earlier ancestors born outside the US)",,,,,,Male,,"no, not of Hispanic, Latino or Spanish origin.",,White,,,,,"fairfield, oh",,,69,Christian,,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",,yes,"$25,001-50,000",married/civil union,3,37,Republican,4,3,respectful of their elders,self-reliant,considerate,curious,free-spirited,imaginative,open-minded,disciplined,neither agree nor disagree,strongly agree,neither agree nor disagree,neither agree nor disagree,99,99,once per week,5,very important,trust somewhat,disagree,disagree,disagree,strongly disagree,,0,all the information I need,not very concerned,somewhat unlikely to change,almost never,no,no,yes,no,legal under any circumstances,yes,Earth,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,,,,Thank you. ,F4D183CA78834CF68BAB49956F456112,,,,,,,fa0c3e89-1baa-4868-b234-7a038ae1baf3,ca1a579a-ad66-49a2-b381-4bb9c9462e00,0,0,1,0
2/25/23 10:46,2/25/23 10:52,IP Address,104.5.21.103,100,331,TRUE,2/25/23 10:52,R_72tVZobYYp361j3,,,,,41.6227,-86.2452,anonymous,EN,Agree,"Yes, I am a third/fourth/fifth-generation or high generation immigrant (grandparents or earlier ancestors born outside the US)",,,,,,Female,,"no, not of Hispanic, Latino or Spanish origin.",,White,,,,,"south bend, IN",,,44,12,,"Master’s Degree (for example MA, MS, Meng, Med, MSW, MBA),",,yes,"$75,001-100,000",single/never married,1,18,Democrat,1 (extremely liberal),2,independent,self-reliant,considerate,curious,free-spirited,imaginative,open-minded,adaptable,strongly disagree,strongly agree,strongly agree,strongly disagree,99,99,never,1,somewhat important,trust somewhat,strongly disagree,strongly disagree,strongly disagree,strongly disagree,,0,all the information I need,very concerned,very unlikely to change,sometimes,yes,yes,yes,yes,legal under any circumstances,yes,Earth,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,fuck republicans and their shitty selfish agenda,620A28295562477C82D2C93347869C3F,,,,,,,e47d72fc-406c-41e4-a087-ff0fc6dbe6d5,ca1a579a-ad66-49a2-b381-4bb9c9462e00,0,1,0,0
2/25/23 10:44,2/25/23 10:53,IP Address,162.221.219.14,100,544,TRUE,2/25/23 10:53,R_2sTuI1vjlffRrcH,,,,,37.9824,-84.4797,anonymous,EN,Agree,"No, but I am a first-generation immigrant, born outside the US (enter country)",,,,United States,,Female,,"no, not of Hispanic, Latino or Spanish origin.",,White,,,,,"LEXINGTON, KENTUCKY",,,69,Protestant,,Grade 1 through 11: Specify,11,no,"$25,001-50,000",married/civil union,2,49,Republican,6,7 (extremely conservative),respectful of their elders,obedient,considerate,curious,free-spirited,imaginative,loyal,adaptable,neither agree nor disagree,agree,neither agree nor disagree,neither agree nor disagree,99,99,never,5,very important,trust somewhat,agree,agree,agree,agree,,1,most of the information I need,very concerned,very unlikely to change,almost never,no,no,no,no,never legal under any circumstance,yes,Earth,,,,,,,,,,,,,,,yes,yes,no,yes,yes,no,,,,,,,,,I wish the questions had more shades of grey. ,9DC142AEFFEF4BA593D81CFC55503CE9,,,,,,,bf975b2d-c8b7-47bb-8d0e-193a54d2587d,ca1a579a-ad66-49a2-b381-4bb9c9462e00,0,0,1,0
2/25/23 10:47,2/25/23 10:54,IP Address,98.97.84.166,100,413,TRUE,2/25/23 10:54,R_78JvZtJAMPuWQRH,,,,,32.7797,-96.8022,anonymous,EN,Agree,"Yes, I am a third/fourth/fifth-generation or high generation immigrant (grandparents or earlier ancestors born outside the US)",,,,,,Female,,"no, not of Hispanic, Latino or Spanish origin.",,White,,,,,"Beckville, TX",,,55,None,,"Some college credit, but less than 1 year of college credit,",,yes,"$50,001-75,000",married/civil union,1,25,no party,3,6,independent,self-reliant,considerate,curious,free-spirited,imaginative,open-minded,adaptable,neither agree nor disagree,agree,agree,disagree,75,75,never,1,very important,trust somewhat,disagree,strongly disagree,disagree,strongly disagree,,2,most of the information I need,somewhat concerned,somewhat unlikely to change,sometimes,no,yes,yes,yes,legal under any circumstances,yes,Earth,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,110709A8D35542BB95401CB4B269E292,,,,,,,60a4e6e3-2ee8-459f-94e8-a7f3e4b2b96a,ca1a579a-ad66-49a2-b381-4bb9c9462e00,0,1,0,0
2/25/23 10:45,2/25/23 10:55,IP Address,104.186.234.163,100,630,TRUE,2/25/23 10:55,R_3huVM08iml4lBzo,,,,,36.0217,-79.7839,anonymous,EN,Agree,"Yes, I am a third/fourth/fifth-generation or high generation immigrant (grandparents or earlier ancestors born outside the US)",,,,,,Female,,"no, not of Hispanic, Latino or Spanish origin.",,Black or African American,,,,,North Carolina,,,56,12,,"Professional degree beyond a bachelor’s degree (for example MD, DDS, DVM, LLB, JD)",,yes,"$50,001-75,000",single/never married,0,,Democrat,2,4,independent,self-reliant,considerate,curious,polite,imaginative,open-minded,disciplined,neither agree nor disagree,agree,agree,disagree,40,25,never,1,somewhat important,trust somewhat,disagree,disagree,disagree,strongly disagree,,0,some of the information I need,somewhat concerned,somewhat unlikely to change,sometimes,yes,yes,yes,yes,legal under any circumstances,yes,Earth,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,3E9A4A2D381C45359172DE1BB0811084,,,,,,,1ff9071f-4b24-4014-bd4a-ea7e1bb26fc7,ca1a579a-ad66-49a2-b381-4bb9c9462e00,1,0,0,0
2/25/23 10:47,2/25/23 10:56,IP Address,98.34.120.176,100,498,TRUE,2/25/23 10:56,R_3jZpblt8u5QF4n3,,,,,41.3693,-88.4179,anonymous,EN,Agree,"Yes, I am a third/fourth/fifth-generation or high generation immigrant (grandparents or earlier ancestors born outside the US)",,,,,,Female,,"no, not of Hispanic, Latino or Spanish origin.",,White,,,,,"Essex, IL",,,27,None,,"Bachelor’s degree (for example: BA, BS)",,yes,"$0-25,000",single/never married,0,,Democrat,3,3,independent,self-reliant,considerate,curious,polite,imaginative,open-minded,adaptable,neither agree nor disagree,agree,agree,disagree,87,84,never,1,somewhat important,trust somewhat,disagree,disagree,disagree,strongly disagree,,2,most of the information I need,very concerned,very unlikely to change,very often,yes,yes,yes,yes,legal under any circumstances,yes,Earth,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,yes,"There were two typos (just want you to be aware) one is where one of the answers is ""Adaptable"" the question it's asking doesn't match the answers. The other one was that there wasn't an option to choose having an abortion ""under certain circumstances"" but it was in the question. ",F6586134F687435A9064E1C721EBC99F,,,,,,,0253b3ab-2a32-46b9-a357-a64c0b6e2198,ca1a579a-ad66-49a2-b381-4bb9c9462e00,0,0,,1
2/25/23 10:46,2/25/23 11:00,IP Address,172.0.73.38,100,803,TRUE,2/25/23 11:00,R_cBk71ZLa9wGQkc9,,,,,37.976,-122.3359,anonymous,EN,Agree,Yes and I consider myself indigenous to the territory of the US.,,,,,,Male,,"no, not of Hispanic, Latino or Spanish origin.",,Black or African American,,,,,"Richmond, California",,,33,Catholic,,"1 or more years of college credit, no degree,",,yes,"$50,001-75,000",married/civil union,0,,Republican,7 (extremely conservative),7 (extremely conservative),respectful of their elders,self-reliant,well-behaved,curious,polite,imaginative,open-minded,adaptable,strongly disagree,strongly agree,strongly agree,strongly disagree,70,60,once per week,5,very important,distrust somewhat,disagree,strongly disagree,disagree,strongly disagree,,2,some of the information I need,not very concerned,somewhat unlikely to change,sometimes,yes,no,yes,yes,legal under any circumstances,yes,Earth,,,,,,,,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,yes,Thank you for providing me with a compelling and sensitive study.,7A2FD3C07D83434E8933F2F44369452E,,,,,,,89213459-3634-49bf-ac28-e7c9f845dfb4,ca1a579a-ad66-49a2-b381-4bb9c9462e00,0,0,,1
2/25/23 10:55,2/25/23 11:01,IP Address,38.76.65.32,100,329,TRUE,2/25/23 11:01,R_1odVGOkZaAXNSOr,,,,,40.7428,-73.9712,anonymous,EN,Agree,"Yes, I am a second-generation immigrant (parents born outside the US)",,,,,,Male,,"Yes, Mexican, Mexican American, Chicano",,White,,,,,"Houston, Texas",,,24,Catholic,,"Associate’s degree (for example: AA, AS)",,yes,"$100,001-125,000",single/never married,0,,Democrat,2,3,independent,self-reliant,well-behaved,curious,free-spirited,imaginative,open-minded,adaptable,strongly disagree,agree,strongly agree,strongly disagree,90,90,once per week,5,not so important,trust completely,strongly disagree,strongly disagree,strongly disagree,strongly disagree,,0,most of the information I need,somewhat concerned,somewhat unlikely to change,almost never,yes,yes,yes,no,legal under any circumstances,yes,Earth,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,E0DDCDD4DC6248318AADE062CC508C75,,,,,,,483f8390-0543-417c-9374-7bee457abc40,ca1a579a-ad66-49a2-b381-4bb9c9462e00,1,0,0,0
